"filename", "language", "Solidity", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/user/init/10k1day/202210/1021-1031/1026/1900/IUniswapV2Router.sol", "Solidity", 82, 0, 0, 0, 13, 95
"/Users/user/init/10k1day/202210/1021-1031/1026/2000/dss.sol", "Solidity", 149, 0, 0, 33, 36, 218
"/Users/user/init/10k1day/202210/1021-1031/1026/2100/IUniswapV2Pair.sol", "Solidity", 21, 0, 0, 0, 20, 41
"/Users/user/init/10k1day/202210/1021-1031/1026/2100/keyber.sol", "Solidity", 19, 0, 0, 2, 6, 27
"/Users/user/init/10k1day/202210/1021-1031/1026/2200/IUniswapFactory.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1026/900/Delegatecall.sol", "Solidity", 27, 0, 0, 24, 10, 61
"/Users/user/init/10k1day/202210/1021-1031/1026/行数.md", "Markdown", 0, 0, 16, 0, 0, 16
"/Users/user/init/10k1day/202210/1021-1031/1027/1000/ICallee.sol", "Solidity", 11, 0, 0, 15, 5, 31
"/Users/user/init/10k1day/202210/1021-1031/1027/1100/DssProxyActionsBase.sol", "Solidity", 168, 0, 0, 28, 38, 234
"/Users/user/init/10k1day/202210/1021-1031/1027/1100/ISynth.sol", "Solidity", 7, 0, 0, 5, 5, 17
"/Users/user/init/10k1day/202210/1021-1031/1027/1100/ISynthetix.sol", "Solidity", 9, 0, 0, 0, 8, 17
"/Users/user/init/10k1day/202210/1021-1031/1027/1200/IDepot.sol", "Solidity", 14, 0, 0, 12, 2, 28
"/Users/user/init/10k1day/202210/1021-1031/1027/1200/ILendingPool.sol", "Solidity", 17, 0, 0, 16, 4, 37
"/Users/user/init/10k1day/202210/1021-1031/1027/1200/ILendingPoolAddressesProvider.sol", "Solidity", 11, 0, 0, 9, 3, 23
"/Users/user/init/10k1day/202210/1021-1031/1027/1200/ISynthetix.sol", "Solidity", 22, 0, 0, 19, 3, 44
"/Users/user/init/10k1day/202210/1021-1031/1027/1200/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1027/1300/IDss.sol", "Solidity", 48, 0, 0, 23, 8, 79
"/Users/user/init/10k1day/202210/1021-1031/1027/1300/IUniswapExchange.sol", "Solidity", 17, 0, 0, 14, 3, 34
"/Users/user/init/10k1day/202210/1021-1031/1027/1300/IUniswapV2Pair.sol", "Solidity", 29, 0, 0, 19, 4, 52
"/Users/user/init/10k1day/202210/1021-1031/1027/1300/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1027/1400/ICurveFiCurve.sol", "Solidity", 28, 0, 0, 25, 4, 57
"/Users/user/init/10k1day/202210/1021-1031/1027/1400/ICurveFiZap.sol", "Solidity", 11, 0, 0, 9, 2, 22
"/Users/user/init/10k1day/202210/1021-1031/1027/1400/ISoloMargin.sol", "Solidity", 106, 0, 0, 64, 17, 187
"/Users/user/init/10k1day/202210/1021-1031/1027/1400/IUniswapV2Factory.sol", "Solidity", 10, 0, 0, 7, 4, 21
"/Users/user/init/10k1day/202210/1021-1031/1027/1400/IUniswapV2Router01.sol", "Solidity", 100, 0, 0, 16, 3, 119
"/Users/user/init/10k1day/202210/1021-1031/1027/1400/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1027/1500/BPool.sol", "Solidity", 46, 0, 0, 46, 2, 94
"/Users/user/init/10k1day/202210/1021-1031/1027/1500/ExchangeProxy.sol", "Solidity", 56, 0, 0, 6, 4, 66
